X_train,Y_train,X_test
[-15.007184545577914],[-21.78317550684693],[15.093652831531742]
[3.2094773214034262],[7.459298850089276],[22.62785117339842]
[21.055474045642008],[13.12630726720437],[-9.568396272952782]
[2.1697186399205206],[-2.079980233409161],[-10.523911930003523]
[1.3967886009507535],[3.7867780612882935],[14.442307569155675]
[15.191445321933562],[18.77458548875326],[-7.168692103928928]
[2.270831636929396],[-13.546102536622815],[-47.68751831111958]
[22.609607862491064],[9.137381819923572],[26.054758604325098]
[3.5127022312445746],[11.031142271320316],[38.84816257121318]
[23.767987374709534],[23.70875875873258],[44.966847683236914]
[1.8881682230959456],[-6.229229332786729],[1.1238329215958651]
[30.320757272597017],[41.130546535064596],[-19.820578187282898]
[-5.872020383325291],[-18.74496748956605],[4.681211902138212]
[-45.24112017484087],[-70.00796527435364],[15.607440354584705]
[-59.60464200782427],[-75.52132462374041],[12.729728658434423]
[6.968521011249441],[4.492202182737101],[-11.68825532172594]
[8.960699762886954],[8.273040189935905],[-6.194382478810846]
[28.107038702278572],[49.32599043707051],[18.571873715980903]
[-21.54802736108346],[-30.163922370055605],[13.633667953162666]
[31.055617776731467],[35.72263788850207],[35.63315291583101]
[-11.09420128769305],[-24.369578123828386],[-15.637619842409237]
[7.954123014673816],[8.813813936445875],[-21.872012148111978]
[2.2570399332383353],[-7.670427229684182],[35.572406439992164]
[10.095260443892418],[17.193557158772197],[44.941496271270644]
[36.68676134653001],[57.29484334870709],[0.46401209628830564]
[6.603725076032518],[-0.7525464429160413],[13.126212154243701]
[-4.003612134134743],[-3.932681685947598],[24.53113724316065]
[-6.984791570244898],[-30.466968382111766],[10.660993974776785]
[17.456825941843064],[3.747958744654582],[-26.607979919173573]
[43.59284395338283],[44.888156121805565],[35.14694275307947]
[-11.019454153842553],[6.230350727697026],[36.99904944867343]
[67.16937574238817],[68.38080266889011],[-8.184490972406762]
[-20.571834570984475],[-29.525389819742756],[-1.7100068990656307]
[-13.143058282491506],[-14.541039025537927],[-20.147828881521196]
[-8.89401018683053],[2.759622447818959],[-33.252763349039896]
[-16.597876414578472],[-45.66799090467413],[16.80996231676715]
[-30.698838684214593],[-25.487829560502128],[11.35152664183314]
[18.305387791812677],[32.1881473077285],[-12.211429957249123]
[-22.260426033335815],[-36.10937304998477],[0.2430711308185245]
[-14.58470475168501],[-21.100145256054],[-11.180936191178791]
[9.260577566686072],[24.90791875133902],[25.53427375101935]
[-16.240142300613517],[-30.760907874222355],[20.457128960769015]
[33.00741077149236],[34.95000355004837],[21.12721332438164]
[40.25436583515816],[53.911237483840935],[-39.4313144336748]
[35.71644387736874],[57.265581784234],[-8.308599762685597]
[7.438651767527183],[18.369308757213133],[-36.857395301279055]
[58.99504181229386],[75.44126468358643],[19.72535711509652]
[31.50040935342482],[40.62898603560019],[1.3879989480734474]
[11.627107633157435],[8.740835851095516],[26.828946861471056]
[37.08529237455147],[46.132959806897645],[-14.284670573164053]
[11.628687340139496],[27.542720485640462],[17.490040784099627]
[-21.177342163823763],[-30.920371525534012],[40.918967913167506]
[41.24814703525684],[52.59650863351677],[20.609102685704833]
[32.4714837818903],[44.820308822128695],[10.017733432942048]
[4.927856398897891],[16.58631447113547],[-38.31939879129072]
[8.262232063085413],[0.8797808788102026],[63.518649991795336]
[-5.237183764797731],[-3.576217284095909],[38.128111399565896]
[21.01918162579679],[34.09712051872623],[-2.0281496575714826]
[28.533737835243794],[25.528274323260085],[6.732346483351915]
[-33.2578175401782],[-41.954806868632744],[-21.508035441974975]
[49.49911078457096],[75.45890987469534],[21.069462923511093]
[-28.36192744791626],[-44.521780016291714],[44.9322636366591]
[32.935511720278534],[35.9633040074375],[32.80546733804391]
[-20.602951056951607],[-29.155525525923146],[24.33702658726507]
[31.811032022789078],[46.56179222091876],[-8.808676495102487]
[31.101582228694664],[40.52831039177669],[-3.803163432831413]
[8.50540406980333],[3.8744608832480125],[-57.59035947895932]
[-29.833611255959752],[-43.081821041969505],[-16.0389582354545]
[14.423278289705534],[9.207820361265316],[-5.75340911768159]
[-19.981738770255436],[-46.542865076405434],[-3.940952438948514]
[-8.65938972405952],[-30.338661762653246],[44.481451775475556]
[13.53549493859401],[24.549442615996362],[18.197492392061513]
[-19.99701409925493],[-20.540677932373494],[14.05590173730444]
[-44.04162189469552],[-68.20308616899968],[7.8465662286405005]
[-7.800998162927121],[-12.452158906237322],[28.771600088373606]
[-6.536958777913306],[-3.6895678646883],[7.893561103419551]
[37.345203399585166],[50.561223979386085],[-21.997461053066164]
[-11.102991363978944],[-29.479860631149148],[-7.855075132823574]
[22.511899687917154],[22.404652342856576],[8.527745398113444]
[-12.186435638789224],[-29.09287815564635],[-18.712788395994906]
[12.864244895916297],[16.726255154445667],[51.84644230049253]
[22.530025989620693],[32.40326545194256],[2.89941389329619]
[5.10880856086314],[14.486142486637311],[20.161169603456898]
[-3.211649930482759],[-2.212722207139451],[8.483210773560799]
[17.562790886431102],[30.13484925972243],[13.006005576897724]
[14.0446955275274],[13.370741138965121],[1.3945037667507707]
[1.8259314431213798],[-8.619781908394154],[13.577102216107537]
[22.343970014574566],[40.67540946106227],[24.84367636482039]
[37.74102853494112],[53.080222795168496],[-11.765034224981818]
[37.33302241526715],[47.662531302873354],[-29.013962943363133]
[14.247676222238908],[12.611238756389392],[-28.28757433684946]
[-12.003085670440942],[-16.899849104022124],[-5.482679368732759]
[42.25184615181262],[54.72199951118955],[11.732120736506808]
[9.152571994348829],[6.774419392229938],[38.205980588484394]
[-25.30584952207403],[-36.470313743718975],[-19.971863034237927]
[-10.552073642274634],[-25.736343963362806],[27.75575733397231]
[-4.917318053360134],[-11.403828801373553],[15.463046460281396]
[-15.994965119951196],[-25.639170435195755],[4.558599770865662]
[40.74813051052806],[54.94966836236107],[-8.287006662984549]
[-23.582721034014398],[-39.315607525269655],[34.28024752039103]
[-47.89200204952201],[-52.31806716334995],[20.951465784321226]
[4.824868044948039],[3.888437479669708],[-12.580082864590672]
[7.1197745730586535],[10.394156565678255],[-4.942977910300714]
[18.442601590314887],[23.23504127100371],[-2.546191282797013]
[-11.18015046769704],[-27.367285742484874],[37.421700743527296]
[-4.383816674362944],[9.369853534010806],[-5.010468451365014]
[26.291813424077286],[40.72135805322855],[40.665712293717064]
[-7.586545306209848],[-27.152368924760598],[3.9704998943158083]
[-5.404601984852281],[-8.531233167881311],[0.8267998000956887]
[2.6212735976972183],[19.14293957721985],[0.9784434801629285]
[-56.46561194514183],[-96.76054824536773],[-14.670817966597738]
[18.423252433878744],[14.756131491339262],[-13.139809045179735]
[-20.370273053800947],[-26.2357969416476],[15.6789567365059]
[18.045548336934388],[26.205807138400743],[51.512165716728724]
[-0.04207965596700802],[-3.6206187410567017],[38.04663933082426]
[30.745652484071258],[35.0911264148123],[-15.676626584231531]
[14.176386402346122],[30.318327117364483],[5.9152409900373915]
[58.74539417898897],[74.00937325152667],[-17.715000307557577]
[-18.370447066958217],[-17.87061206147696],[30.54450509062062]
[49.52409718677072],[70.27294032217465],[41.69312884574043]
[29.35587061423425],[39.921480224158486],[-50.60681696290496]
[47.97557524120939],[62.077728943281954],[-9.100874977412667]
[-17.587625420715003],[-27.701177882644476],[-19.385109421898395]
[-12.840713052602851],[-11.826145832733555],[5.2076115564950465]
[1.8462536441531734],[-7.376312740066693],[-33.593593798606264]
[33.748260611994056],[40.979708607699415],[6.110382779023161]
[20.24732411792271],[38.6933875090403],[-12.07597335883888]
[23.01657657379633],[31.393799617878518],[20.290996818841535]
[-14.403277404168186],[-21.153482957434342],[12.634768351319057]
[21.665350604679197],[25.749238195817213],[11.813190192748136]
[-10.630536012756489],[-19.224191637034224],[-36.946609655374075]
[8.241702624063805],[2.968058691858662],[-30.975074303194475]
[20.82074747398773],[21.27271915764754],[-21.816519619230355]
[13.015849105780628],[12.22494874568485],[-1.9403222782211298]
[3.519958425472927],[-1.8080163293529878],[19.57962102729683]
[51.5017648726051],[69.14428675483695],[-13.121060059942028]
[14.737279715196422],[24.82889015454441],[16.33351576967516]
[20.742750626776115],[32.84719140656202],[-21.215804239396373]
[3.1117152042623903],[1.5802794522996266],[24.29605024085359]
[-1.1566808179826804],[-5.2295693122479445],[-6.482262510470029]
[8.532160772412006],[-0.9925167951270009],[-9.36914157669649]
[-51.76882710678078],[-72.72058924006444],[6.957955076403652]
[-1.2185429008635982],[-5.241409467675955],[37.740125191332496]
[-17.751614813444444],[-26.784766100613744],[16.215486987969648]
[4.624021250042208],[-12.892616624386964],[9.085685683624442]
[4.023861183615158],[1.1585492713151444],[4.349155640946184]
[22.224692487444415],[29.694039440823307],[36.860768331759886]
[2.768369539945532],[2.3335259567933924],[6.0980291045750645]
[-8.37949144345226],[-21.9135723128691],[-18.44965338071191]
[17.792723215650582],[29.354324642935033],[-20.903154835317764]
[39.239593992598586],[79.13017357338427],[-6.98335309357379]
[27.506679993284656],[22.092095261096787],[-10.454054543504311]
[-20.732503638532876],[-29.789730131181678],[-8.519008924316356]
[-3.0488915740752045],[0.38102198561292866],[13.483307613227744]
[12.939918353302613],[1.8924747631009797],[8.668102215297612]
[-7.337921936285774],[-2.2146413972803796],[12.7797187584529]
[-19.71483156789623],[-19.514454517810456],[3.592415305228765]
[27.49974670467968],[26.631201320447186],[13.688225230082331]
[-13.266637737258549],[-14.667959984455536],[-53.515831270509686]
[-8.022556460775075],[-6.027153883469301],[-12.685939032252808]
[18.281165807263854],[8.852038880074485],[15.273232195184605]
[3.6718985209408994],[-13.008626723372021],[18.224169238487917]
[21.785367616352843],[36.256309304713035],[35.76019595937424]
[0.25487115318223186],[8.523444446414468],[36.31137923033923]
[7.005462147306959],[4.52083100891767],[-25.46788935735485]
[-12.23121497091751],[-15.587718016452738],[7.454906789088167]
[18.387819714603182],[19.218273330541706],[40.259064600632186]
[-8.392430208113604],[11.975425623473837],[7.542731845260995]
[-55.51280671080734],[-65.06280352570589],[-1.3152754273045852]
[19.08753591897387],[27.7376002737081],[17.46480497084766]
[28.401323955543678],[31.091077568180417],[-2.2395011522434993]
[10.81213624963081],[32.90293909216115],[-10.209780132647005]
[-4.828786605237044],[-9.150122835840493],[18.686241575975263]
[42.07547992297218],[58.60888396566532],[32.40931055606174]
[-19.507909964978968],[-22.34623906200817],[-1.508806830761685]
[1.4121810146557552],[-9.260913464700133],[-3.7083910816928025]
[-50.20326467441479],[-64.77856542708453],[46.71728631494795]
[25.3749149287285],[28.573719499784904],[-30.072077918133253]
[20.195540039200097],[30.424004092026365],[31.2138028120222]
[-30.8186596779474],[-53.99749924465776],[8.660946644605474]
[-10.997447952787546],[-30.178278891479057],[32.6863903033866]
[26.575942611249033],[46.53231391425681],[-13.100951938729796]
[-1.3311882096853882],[-16.644631170055305],[10.248039909161623]
[-30.400082820472875],[-55.86462118683585],[-16.57478752472545]
[-30.516547982725065],[-53.45883144266728],[22.739982068626645]
[30.10152454740666],[27.75450653568104],[-7.424854637891682]
[42.16061770636895],[51.52030253942054],[44.86030990523061]
[-16.325718643129434],[-23.402502624899633],[-9.627668405696815]
[71.54093940528064],[71.32011418814128],[-11.344537412264025]
[2.267199667423577],[-14.349197616824657],[-96.62329495845705]
[38.83590044551188],[38.82422681070819],[41.59859534089323]
[-18.03826671872893],[-13.881350055282075],[26.57797942458977]
[42.769659597861306],[71.94039284674267],[-11.11936527904589]
[-1.0130163678964896],[-0.19192516536356496],[-17.751279176946714]
[-12.228189743371622],[-10.64839433204347],[29.670761658034117]
[16.97822085452446],[14.604408568140567],[9.841403739462846]
[8.870356749032112],[3.919705700585032],[1.0993352312078422]
[-14.891378952910976],[-7.159565966810252],[16.569088556448072]
[10.349260678122928],[16.505974679942327],[-7.112108180140222]
[23.738185848195002],[27.145394400312334],[15.138743918392555]
[-30.034055000361555],[-46.89439509159575],[9.930584686019643]
[26.076255363581478],[30.543731753879445],[9.24351824991373]
[0.04235691249692142],[-31.31495064835346],[-14.867932831125124]
[26.002975423850415],[10.094148851150791],[14.897762692359592]
[4.940814669288422],[7.5632735396396065],[15.958800762102218]
[3.75164984673114],[4.01246995311184],[-32.30122812367607]
[-36.07100863228078],[-47.15860749239584],[6.5536131259025945]
[39.27358138649331],[50.08490202889356],[-0.857127745883151]
[4.882336686662413],[3.2996288642313214],[-14.868557978081782]
[6.850764732935026],[-0.709338611423882],[4.639522370439766]
[20.916148154196087],[33.50436692336183],[-24.393290811196604]
[16.84002497794293],[29.751484112645134],[19.894880315501105]
[18.041845681480552],[11.848641893803869],[51.62562454786094]
[-20.118413378343874],[-36.585750068355985],[4.450106345306796]
[-15.067415391420031],[-29.225966290204564],[-19.267581274768165]
[-7.493506175775984],[-22.545381665183953],[-5.695692989988297]
[35.01224538345157],[25.089417039747765],[15.515078803137198]
[9.932446553996026],[-6.718745276328949],[11.016739595135792]
[7.25760775361997],[6.18587784507899],[-2.5582203718603704]
[14.215553818936634],[9.137669148608518],[6.564183539959762]
[26.351422457188534],[25.374160203985994],[-1.797197740861348]
[-5.548437419804712],[-7.440894539483918],[-2.375218512248467]
[-10.066510534903363],[-5.57988961694179],[16.49379466973665]
[47.6104237749017],[59.17771411310518],[-4.407209339168968]
[-2.01577667805012],[-0.9124313334274552],[25.06954478219479]
[31.89099162843266],[37.728342059653876],[50.18690715103656]
[27.832240170791778],[38.746945182404296],[-29.257358605558572]
[24.72333882147633],[30.041194717296754],[-23.596434047344697]
[-42.505374314971995],[-68.22251963686362],[-6.228097300558188]
[-32.40275168093139],[-59.28722757306996],[-6.262610723359497]
[-23.37717246734374],[-33.564167473681316],[30.78061016724157]
[5.642434011507519],[6.973882154509903],[1.3618005992061502]
[55.69743044548467],[69.37085631333676],[32.87923261217321]
[26.677401641361488],[27.243154901839002],[-16.41208197212411]
[-6.879899472590559],[-14.802850361160113],[-32.2327514175259]
[-29.737728999865055],[-48.02858455418682],[19.38324844502622]
[24.185222050229473],[34.143754186241054],[19.81602403207673]
[18.933874638275796],[10.768482969961774],[-53.71886452575976]
[-31.394331891353545],[-30.660437709594408],[-1.2807253893220505]
[5.046610931654216],[10.438513205659975],[26.382300066284614]
[12.182739300321803],[21.339587370909513],[26.74513687414508]
[36.69803367759374],[51.256676267074134],[-18.884982051218778]
[-14.542744402177991],[-16.96229516998405],[1.9902995018358594]
[39.92593815740696],[38.1306306672282],[28.999414999994485]
[-19.761309641932474],[-20.32168780277795],[-45.10581076235766]
[-14.895555149435197],[-28.543935829251048],[61.62341501309444]
[15.203908354109185],[2.7540948753361967],[25.62267157966912]
[-65.07048850122601],[-78.90231017704818],[4.349110143986895]
[-37.14803419109326],[-49.802494447228334],[1.3312039878489248]
[5.657306102522555],[-2.520615224747381],[-18.741429693908362]
[25.661295778696847],[19.289651704127586],[13.631127783204933]
[-31.75308397210169],[-56.162832654896405],[40.27424923384426]
[12.017423492023578],[-2.220758319464519],[-29.6832283154773]
[14.225245099661171],[3.05075427577151],[21.39821500470943]
[-14.88806876847731],[-12.102093080432235],[40.5529874839051]
[28.290805471907145],[34.457880770579735],[17.867383514135927]
[-25.636426996695477],[-60.41159456738545],[1.7276160501927538]
[5.893150330317346],[4.4287314358894845],[-3.075286185058692]
[32.36758992402993],[47.44852151410649],[43.517944389480476]
[-41.23589050048962],[-65.78459049010087],[8.354921863753894]
[-6.7727013230683415],[-27.893546587798518],[13.78650451440166]
[52.022676181702316],[50.047485042549525],[-22.848893493688454]
[45.01615608858427],[61.3955288161547],[18.193741517611155]
[1.1864103932559997],[2.0552069217672173],[23.21546177909558]
[39.62750473312567],[55.53355394276981],[23.19191826408368]
[2.3653240920957046],[3.79269865665214],[18.00265037647522]
[-9.46568700946509],[-10.31729662926984],[-19.244109324236454]
[0.3485991297500455],[-13.211155932071382],[0.7240664033727855]
[1.3497865304629664],[11.012814805924979],[-31.13273938712811]
[-32.33760441090874],[-56.551488279665044],[-35.587222926210956]
[28.895639792259708],[17.099057277999314],[5.848220810481035]
[17.90066024021669],[23.832738056298695],[-15.87650883118544]
[-68.80415057371128],[-114.08805944328323],[5.664183247403632]
[-9.911632930917254],[-5.434786242026046],[17.581116635222756]
[51.82362975968286],[66.11917197547075],[5.076237483303796]
[24.80101038984158],[30.665512927662352],[33.379437656592145]
[46.68808762760245],[46.99564451093148],[-4.69832200719952]
[34.860969456178736],[36.04350301613802],[-7.383953924015826]
[-36.70997574769927],[-64.45194876551373],[27.081625761344085]
[9.054130907105314],[12.219148706663061],[38.018663199776576]
[28.330374544936568],[39.089803915598736],[14.022389924901868]
[-24.569429177278682],[-35.49471323454496],[2.6246432323230455]
[26.5665830691734],[46.81659658230765],[63.91677587888883]
[1.7609841792708112],[18.924836724799718],[-17.554502078260143]
[-1.0356845562401311],[-9.972350908647577],[-78.23126451750387]
[50.414409298477636],[50.785714462154715],[11.055310551678513]
[37.11477692211227],[47.38623046688885],[24.72052651373957]
[25.412054799362412],[41.172856361655484],[25.48418247936481]
[-3.9179932715692836],[-0.9458289821116841],[14.95483733065854]
[27.459467927176178],[55.98289925230068],[-20.859942509612726]
[10.24823044266699],[10.123912167497435],[36.601454422731095]
[-37.203181016023436],[-61.02896108859773],[-29.300550253302767]
[-15.968883320775948],[-30.851731015811005],[50.40207915927492]
[24.642133780723494],[31.145042836623954],[-6.2380636990864105]
[21.30740429696318],[16.479397176382214],[-22.53429832173885]
[-12.782678051561827],[-37.711079942410684],[-80.73700290732154]
[-15.518858726471127],[-6.872575400587774],[28.878354540971767]
[34.88932647545263],[18.175356457018893],[-36.51279156088214]
[35.34057004322407],[55.967507741398194],[18.202098606802274]
[23.966999253499413],[18.447733197315866],[-46.8113377976323]
[-28.940378831287703],[-44.873459408707454],[-8.492396839829702]
[13.40935230708105],[12.201938205148172],[16.652584767265555]
[15.748201672907511],[-2.837063140727146],[-5.025377434468355]
[-43.47260708882126],[-60.50256178253619],[14.14048059856993]
[-50.74685881001105],[-61.997663006869054],[24.160104726484924]
[16.939351828375532],[10.544330705222897],[23.565426907735645]
[-0.3374417384609796],[-5.034492892199436],[28.55252690599439]
[22.68214353988337],[16.832993216719984],[31.242280231368753]
[-16.59739237212709],[-43.69677453283266],[-16.337113469284127]
[-5.125148167005355],[-11.792568152025547],[12.301597559791823]
[-4.08192046854499],[-4.8239946415647],[-8.279019267420924]
[13.860654391002136],[30.48259373197408],[0.43053516771123324]
[22.114972050462026],[39.407719287161164],[-8.987174011819548]
[7.277801212335216],[9.529427357113217],[-6.874173320800702]
[48.480270455000074],[52.65412297434936],[0.5739213984732592]
[-32.454490439003855],[-31.86767905875677],[43.176499035236375]
[40.29251789665934],[49.46852893419867],[-18.417470396365005]
[23.399857802491386],[32.320231216518124],[-12.863930512246299]
[66.744957955053],[84.85642991424825],[-6.287833490126314]
[18.615280939402307],[13.242254047313741],[-7.962861730655842]
[29.905719920632986],[30.24460810039698],[34.296838936928054]
[25.25851645313816],[35.16752941167797],[-18.314107707244062]
[-15.923402767391469],[-29.959146896372047],[13.22612264236121]
[8.001988507166766],[7.375978993070819],[-26.394982650362298]
[13.548672241993899],[15.04313701709007],[9.310973497079509]
[4.448833896908033],[11.418888428828385],[12.560000027657514]
[-18.43465349658652],[-45.47792968232409],[0.6501965920165507]
[-27.047616284648903],[-36.88561920745592],[18.229139214397534]
[6.474383606637838],[-3.3470875660978283],[18.72609441515086]
[24.099020301838923],[23.695836100808734],[5.940365260702432]
[28.131145693048197],[42.05594861302954],[9.433990193325974]
[-43.40126975550939],[-58.89186113412052],[61.30839250475053]
[-26.157439445142],[-25.857413863530397],[26.155195087734153]
[19.026267979493042],[7.939694405693846],[-8.495629971553539]
[-26.945554512576823],[-44.59697897762143],[52.17538115868768]
[3.052360715362342],[16.68794784720468],[7.2092564248131765]
[-38.02962318315454],[-49.56141563753911],[49.873630221395025]
[-9.811479507849636],[-27.81323855268063],[-34.33838414943981]
[43.34005547499681],[49.909167629756496],[-29.114010817215416]
[-18.477690128297382],[-7.87595546175028],[-27.284645080131305]
[1.3776877304881818],[1.0813207070101014],[9.735607244122406]
[-1.8479140557235034],[20.600776826458038],[36.486987467766824]
[15.23140454905106],[24.21695069580293],[41.965880568935226]
[35.06502422391047],[23.313756315546154],[23.325939335661516]
[2.5508580576565665],[1.203078182222948],[11.80263442388236]
[-16.72025630256507],[-24.29374112881015],[10.534758523869094]
[-6.726877236570733],[-22.14839315646556],[-38.88094519978183]
[-25.729973913880173],[-27.169249247584016],[5.603321839257946]
[-16.961579125944024],[-26.77467609324658],[8.814877022059388]
[-19.3505498669725],[-25.981580201429303],[8.79271222389397]
[-13.922681621180544],[-38.03535027270008],[-21.799657394091746]
[15.454259876904331],[-1.3924835385824004],[-32.29690749530458]
[30.19982763828603],[31.31821038505515],[32.24566031160461]
[-24.219363562972315],[-27.739528494889615],[-2.4110442866513555]
[-52.007248363343045],[-61.26251246254909],[33.32656403793226]
[-6.7513239901924536],[2.5536632435857882],[12.875790376889354]
[-12.7495809903026],[-27.06452480122373],[1.4603452775108838]
[6.810900899381965],[-3.731293165477231],[-4.290174812886653]
[19.429256534233353],[24.920496117183333],[31.77359252179815]
[-26.83268994830073],[-29.880331460072355],[38.91126816152616]
[0.4443970327018363],[-0.6460282705029745],[-16.604396510752114]
[31.421015685496158],[47.2773417112476],[14.63596443247081]
[25.76777153057972],[33.89036400598115],[36.048464595319054]
[-11.676604730152846],[-9.953337474823442],[14.41038173866687]
[-8.339145033330519],[-15.697303802600183],[7.703320806175749]
[-6.806080148541078],[-13.127606701524279],[-23.75042276468242]
[-26.312080795514348],[-15.5896047961797],[19.71115768537134]
[34.53746728190817],[42.729598423258125],[6.519981340292265]
[16.59932582352862],[26.81843921640383],[40.21855627770229]
[26.175009273053043],[23.583461916338948],[53.67437960711841]
[-18.631535883541428],[-16.873148149872733],[-13.452646727369395]
[-14.447180469942452],[-20.02503084345353],[-28.727883033943243]
[-26.84396661309876],[-30.474584012255093],[-7.391311018881048]
[-0.4144251796254048],[-5.696794807487594],[23.420258257054016]
[22.179251820493295],[27.19199001953132],[-2.337443156663605]
[20.10927444802098],[17.777224899255284],[-5.161792095713746]
[41.804108686970835],[33.907035475289234],[-21.49799874500247]
[-31.61783168955497],[-45.93635722548412],[24.126519333870508]
[-22.796173579280918],[-34.92973991427141],[40.70381147566643]
[5.863836457429853],[12.308340614820107],[21.032453296898026]
[33.07775870944367],[38.53302992998716],[-37.5494982137604]
[-8.156101707278662],[-8.767365608697663],[29.410173340764576]
[11.97452091437918],[9.725339531412525],[10.330097023502837]
[17.391842590360515],[25.46971428395517],[2.7720680510345974]
[38.948600799323515],[47.57676801269651],[-17.712418021130055]
[-27.27211396285336],[-40.33193888498875],[30.99555347929345]
[13.827214372657506],[17.7971866806406],[-6.237949183313409]
[-2.034353236586087],[6.621025403195443],[34.072799526950575]
[37.852529748182306],[31.592358680221217],[-3.1952110808352696]
[-17.009972324651898],[-44.162608587036786],[30.89574706038385]
[-34.81007229723979],[-56.144973992683276],[22.989097014679494]
[-24.437589616204047],[-42.72110759648053],[32.513317160302634]
[8.273950623115045],[-4.118568649176117],[-5.673576331329178]
[-12.244132246878685],[-20.194540338872237],[33.06643920259341]
